Titulo,Tipo,Endereco,Regiao,Preco,Data de coleta
"Kitnet/Studio para alugar com 1 quarto, 30m² em Asa Sul, Brasília",Studio e kitnet,Seps 713/913,"Asa Sul, Brasília",Aluguel R$ 1.710,2023-12-09
"Casa para alugar com 3 quartos, 186m² em Asa Sul, Brasília",Casa,Shigs 713 Bloco Z,"Asa Sul, Brasília",Aluguel R$ 6.650,2023-12-09
"Kitnet/Studio para alugar com 1 quarto, 35m² em Asa Sul, Brasília",Studio e kitnet,Seps 713913 Conjunto B,"Asa Sul, Brasília",Aluguel R$ 1.700,2023-12-09
"Kitnet/Studio para alugar com 2 quartos, 33m² em Asa Sul, Brasília",Studio e kitnet,Crs 516,"Asa Sul, Brasília",Aluguel R$ 2.049,2023-12-09
"Apartamento para alugar com 3 quartos, 150m² em Asa Sul, Brasília",Apartamento,Sqs 104,"Asa Sul, Brasília",Aluguel R$ 6.481,2023-12-09
"Apartamento para alugar com 4 quartos, 243m² em Asa Sul, Brasília",Apartamento,Quadra Sqs 208 Bloco B,"Asa Sul, Brasília",Aluguel R$ 9.560,2023-12-09
"Apartamento para alugar com 1 quarto, 33m² em Asa Norte, Brasília",Apartamento,Scrn 710/711 Bloco H,"Asa Norte, Brasília",Aluguel R$ 1.310,2023-12-09
"Apartamento para alugar com 1 quarto, 45m² em Setor Noroeste, Brasília",Apartamento,Clnw 1011 Lote B,"Setor Noroeste, Brasília",Aluguel R$ 2.149,2023-12-09
"Apartamento para alugar com 2 quartos, 64m² em Norte (águas Claras), Brasília",Apartamento,Rua 36,"Norte (águas Claras), Brasília",Aluguel R$ 2.300,2023-12-09
"Apartamento para alugar com 1 quarto, 83m² em Setor de Habitações Coletivas E Geminadas Norte 703, Brasília",Apartamento,"St. de Habitações Coletivas E Geminadas Norte 703 - Asa Norte, Brasília - Df, 70730-700, Brasil","Setor de Habitações Coletivas E Geminadas Norte 703, Brasília",Aluguel R$ 4.796,2023-12-09
"Apartamento para alugar com 3 quartos, 79m² em Asa Norte, Brasília",Apartamento,Sqn 406 Bloco I,"Asa Norte, Brasília",Aluguel R$ 3.600,2023-12-09
"Apartamento para alugar com 1 quarto, 33m² em Asa Norte, Brasília",Apartamento,Scrn 710/711 Bloco H,"Asa Norte, Brasília",Aluguel R$ 1.310,2023-12-09
"Apartamento para alugar com 2 quartos, 50m² em Asa Norte, Brasília",Apartamento,Shcgn 703 Bloco G,"Asa Norte, Brasília",Aluguel R$ 2.200,2023-12-09
"Apartamento para alugar com 1 quarto, 27m² em Asa Norte, Brasília",Apartamento,Cln 408 Bloco A,"Asa Norte, Brasília",Aluguel R$ 1.600,2023-12-09
"Kitnet/Studio para alugar com 1 quarto, 25m² em Asa Norte, Brasília",Studio e kitnet,Sgan 911,"Asa Norte, Brasília",Aluguel R$ 1.015,2023-12-09
"Apartamento para alugar com 1 quarto, 24m² em Asa Norte, Brasília",Apartamento,Sclrn 712 Bloco D,"Asa Norte, Brasília",Aluguel R$ 1.200,2023-12-09
"Kitnet/Studio para alugar com 1 quarto, 27m² em Asa Norte, Brasília",Studio e kitnet,Sgan 911,"Asa Norte, Brasília",Aluguel R$ 2.200,2023-12-09
"Apartamento para alugar com 1 quarto, 55m² em Asa Norte, Brasília",Apartamento,Shtn 1,"Asa Norte, Brasília",Aluguel R$ 5.000,2023-12-09
"Kitnet/Studio para alugar com 1 quarto, 33m² em Asa Norte, Brasília",Studio e kitnet,Cln 412,"Asa Norte, Brasília",Aluguel R$ 1.350,2023-12-09
"Apartamento para alugar com 1 quarto, 50m² em Asa Norte, Brasília",Apartamento,Shtn,"Asa Norte, Brasília",Aluguel R$ 2.700,2023-12-09
"Apartamento para alugar com 1 quarto, 29m² em Guará, Brasília",Apartamento,Sgcv Lote 13 Vista Park Sul Hplus Long Stay,"Guará, Brasília",Aluguel R$ 1.590,2023-12-09
"Apartamento para alugar com 2 quartos, 66m² em Guará Ii, Brasília",Apartamento,Qi 12 Bloco E,"Guará Ii, Brasília",Aluguel R$ 1.580,2023-12-09
"Kitnet/Studio para alugar com 1 quarto, 32m² em Guará I, Brasília",Studio e kitnet,Sria Qe 05 Ae D Lote 1 E Ark 5,"Guará I, Brasília",Aluguel R$ 2.400,2023-12-09
"Apartamento para alugar com 2 quartos, 62m² em Guará Ii, Brasília",Apartamento,Área Especial 2 Bloco A,"Guará Ii, Brasília",Aluguel R$ 2.856,2023-12-09
"Casa para alugar com 3 quartos, 200m² em Guará Ii, Brasília",Casa,Qe 28,"Guará Ii, Brasília",Aluguel R$ 3.692,2023-12-09
"Casa para alugar com 3 quartos, 400m² em Guará I, Brasília",Casa,Colônia Agrícola Águas Claras Chácara,"Guará I, Brasília",Aluguel R$ 12.300,2023-12-09
"Apartamento para alugar com 3 quartos, 100m² em Taguatinga, Brasília",Apartamento,Rua 21 Sul,"Taguatinga, Brasília",Aluguel R$ 3.580,2023-12-09
"Apartamento para alugar com 1 quarto, 37m² em Taguatinga, Brasília",Apartamento,"Taguatinga, Brasília - Df, 72035-503, Brasil","Taguatinga, Brasília",Aluguel R$ 2.252,2023-12-09
"Casa para alugar com 1 quarto, 35m² em Taguatinga Norte (taguatinga), Brasília",Casa,Qnm 40 Conjunto D2,"Taguatinga Norte (taguatinga), Brasília",Aluguel R$ 747,2023-12-09
"Apartamento para alugar com 2 quartos, 52m² em Qi, Brasília",Apartamento,24 - Taguatinga Norte Qi,"Qi, Brasília",Aluguel R$ 1.950,2023-12-09
"Apartamento para alugar com 1 quarto, 23m² em Taguatinga Norte (taguatinga), Brasília",Apartamento,Sig Lt 08 09,"Taguatinga Norte (taguatinga), Brasília",Aluguel R$ 850,2023-12-09
"Casa para alugar com 5 quartos, 232m² em Taguatinga Norte (taguatinga), Brasília",Casa,Qng,"Taguatinga Norte (taguatinga), Brasília",Aluguel R$ 4.500,2023-12-09
"Casa para alugar com 5 quartos, 250m² em Taguatinga Norte (taguatinga), Brasília",Casa,Qnd 16,"Taguatinga Norte (taguatinga), Brasília",Aluguel R$ 3.440,2023-12-09
"Casa para alugar com 4 quartos, 406m² em Qnd 25, Brasília",Casa,"8 - St. D Norte Qnd 25 - Taguatinga, Brasília - Df, 72120-250, Brasil","Qnd 25, Brasília",Aluguel R$ 7.000,2023-12-09
"Apartamento para alugar com 1 quarto, 40m² em Taguatinga Norte (taguatinga), Brasília",Apartamento,Setor M Norte Qnm 40 Conjunto H,"Taguatinga Norte (taguatinga), Brasília",Aluguel R$ 650,2023-12-09
"Casa para alugar com 4 quartos, 599m² em Qnd 17, Brasília",Casa,"17 - St. D Norte Qnd 17 - Taguatinga, Brasília - Df, 72120-170, Brasil","Qnd 17, Brasília",Aluguel R$ 5.740,2023-12-09
"Casa para alugar com 3 quartos, 80m² em Ceilândia, Brasília",Casa,"Ceilândia, Brasília - Df, 72220-184, Brasil","Ceilândia, Brasília",Aluguel R$ 1.785,2023-12-09
"Kitnet/Studio para alugar com 1 quarto, 33m² em Ceilândia Norte (ceilândia), Brasília",Studio e kitnet,Qnm 12 Via Nm 12b,"Ceilândia Norte (ceilândia), Brasília",Aluguel R$ 1.150,2023-12-09
"Casa para alugar com 3 quartos, 200m² em Ceilândia Norte, Brasília",Casa,Qnp 05 Conjunto P,"Ceilândia Norte, Brasília",Aluguel R$ 1.619,2023-12-09
"Apartamento para alugar com 2 quartos, 60m² em Ceilândia Norte (ceilândia), Brasília",Apartamento,Qnm 12 Via Nm 12a,"Ceilândia Norte (ceilândia), Brasília",Aluguel R$ 1.300,2023-12-09
"Apartamento para alugar com 2 quartos, 60m² em Ceilândia Norte (ceilândia), Brasília",Apartamento,Qnn 5 Conjunto J,"Ceilândia Norte (ceilândia), Brasília",Aluguel R$ 657,2023-12-09
"Casa para alugar com 3 quartos, 130m² em Ceilândia Sul (ceilândia), Brasília",Casa,Qnn 18,"Ceilândia Sul (ceilândia), Brasília",Aluguel R$ 1.870,2023-12-09
"Casa para alugar com 1 quarto, 40m² em Ceilândia Norte (ceilândia), Brasília",Casa,Qnm 4 Conjunto P,"Ceilândia Norte (ceilândia), Brasília",Aluguel R$ 552,2023-12-09
"Kitnet/Studio para alugar com 1 quarto, 60m² em Ceilândia Sul (ceilândia), Brasília",Studio e kitnet,Setor Habitacional Sol Nascente,"Ceilândia Sul (ceilândia), Brasília",Aluguel R$ 500,2023-12-09
